ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;895959014;6;2;0;0;0;0;1
0;0;643024640;4;1;0;0;0;0;1
0;0;547535351;8;3;0;0;0;0;1
0;0;132928100;12;1;0;0;0;0;1
0;0;215329955;3;2;0;0;1;0;1
0;0;884113510;3;1;0;0;0;0;2
0;0;581637882;8;1;0;0;0;0;1
0;0;749643204;2;1;0;0;0;0;2
0;0;722002436;2;3;0;0;0;0;1
0;0;225368696;3;3;0;0;0;0;2
0;0;857554546;4;2;0;0;0;1;1
0;0;509590071;5;2;0;0;1;0;1
0;0;441295536;1;1;0;0;0;0;1
0;0;368155378;3;3;0;0;0;0;4
0;0;593518487;3;1;0;0;0;0;1
0;0;193738628;1;1;0;0;0;0;2
0;0;454477506;5;3;0;0;0;0;3
0;0;482681394;4;1;0;0;0;0;1
0;0;624476028;2;3;0;0;1;1;3
0;0;951823068;2;1;1;0;1;1;1
0;0;490253448;4;1;0;1;0;0;1
0;0;672026357;3;1;1;0;1;0;1
0;0;987022447;4;1;0;1;0;0;1
0;0;621914572;3;3;0;0;0;0;1
0;0;264442106;7;3;0;0;0;0;2
0;0;246332086;6;1;0;0;1;0;1
0;0;119105428;2;1;0;0;0;0;1
0;0;851490362;3;2;0;0;0;0;4
0;0;550058157;10;2;0;0;0;0;3
0;0;122400124;5;2;0;0;0;0;1
0;0;232990275;10;1;1;0;0;0;1
0;0;57814432;3;1;1;0;0;0;2
0;0;826242891;1;3;0;0;0;0;7
0;0;794955384;2;3;0;0;0;0;1
0;0;324056675;6;3;0;0;0;0;2
0;0;949253981;6;2;0;0;0;0;2
0;0;490277468;8;1;0;0;0;0;2
0;0;62827780;1;1;1;0;0;0;4
0;0;409383058;10;1;0;0;0;0;1
0;0;17865103;1;1;0;0;0;0;1
0;0;612174886;5;1;0;0;0;0;1
0;0;938085815;5;3;0;0;0;0;2
0;0;390190534;10;3;0;0;0;0;2
0;0;363731310;1;1;0;0;1;1;6
0;0;649329861;4;1;0;0;0;0;1
0;0;263384315;3;1;0;0;0;0;1
